0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:41 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:42 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:43 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:43 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:44 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:52 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:53 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:38:55 +0530] "GET /webTestEmp/depts%20?%20operation=sorting%20&%20filed=name%20&%20sortby=asc HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:39:52 +0530] "GET /webTestEmp/depts HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:39:54 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:39:55 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:40:16 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:40:17 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:40:18 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:40:19 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:40:20 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1105
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:21 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:23 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:25 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:26 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:27 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:29 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:31 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:32 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:33 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:34 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [14/Feb/2025:12:43:35 +0530] "POST /webTestEmp/depts HTTP/1.1" 200 1419
